Title,Authors,Year,Venue
Project-based robotics 4.0 education using microcontrollers to enhance technical and programming competencies,"József Udvaros, Veronika Gabal’ová",2025,2025 IEEE 25th International Symposium on Computational Intelligence and Informatics (CINTI)
Quality of collaborative learning discovered by data mining and visualization,"Yixuan Wang, Nanlin Jin, Ho-Pun Lam",2025,2025 5th International Conference on Artificial Intelligence and Education (ICAIE)
Regression testing skill transfer to industry: a preliminary study in higher education,"Andrada-Mihaela-Nicoleta Moldovan, Andreea Vescan",2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW)
Remedying low student performance in introductory programming: a case study on role assignment in academic teams,"Nikolaos Spanoudakis, Evangelia Krassadaki",2025,2025 6th International Conference in Electronic Engineering & Information Technology (EEITE)
Scaffolded projects for the social good: broadening participation in service learning for computing curricula,"Stan Kurkovsky, Michael Goldweber, Chad A. Williams et al.",2025,Proceedings of the ACM Global Computing Education Conference 2025 - Volume 1
Scaffolding creative thinking in project-based learning: a practical use of scrum and generative AI,"Anna Lyza Felipe, James Harland, Duy Dang et al.",2025,"2025 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)"
Scaffolding online capstone courses for improving data science education via comparative analysis of online and In-person capstone courses,Xinjie Lan,2025,2025 IEEE Digital Education and MOOCS Conference (DEMOcon)
Self-assessment and the development of socioemotional competencies in first-year computing students,"Julia Stateri, Filipe G. De Souza N. Da Silva, Rajesh Montoya Rani",2025,2025 International Symposium on Accreditation of Engineering and Computing Education (ICACIT)
Software engineering courses through the lens of an education intelligence tool,"Manuel Stöger, Johann Grabner, Mario Bernhart et al.",2025,2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&T)
Software engineering team project courses with industrial customers: students’ insights on challenges and lessons learned,"Nayla Nasir, Muhammad Usman, Jürgen Börstler et al.",2025,Journal of Systems and Software
Stimulating brainstorming activities with generative AI in higher education,"Jérémy La Scala, Sonia Sahli, Denis Gillet",2025,2025 IEEE Global Engineering Education Conference (EDUCON)
Supporting brainstorming activities with bots in software engineering education,"Juan Carlos Farah, Jérémy La Scala, Sandy Ingram et al.",2025,2025 IEEE/ACM International Workshop on Bots in Software Engineering (BotSE)
Teaching of transferable teamwork competencies in higher education: development of the TWC training protocol©,"Cynthia G. Campbell, Iryna Babik, Stephen J. Crowley",2025,Frontiers in Education
Team composition in software engineering capstone courses: the role of pre-existing relationships,"Idunn Stabell, Camilla Kielland Lund, Viktoria Stray et al.",2025,Proceedings of the 2025 29th International Conference on Evaluation and Assessment in Software Engineering Companion
"Team versus individual projects in introductory programming: effects on performance, variability, and retention",Hyunchul Joh,2025,IEEE Access
Teamwork in agile software development: a mixed-method study of gender diversity and collaboration dynamics,"Viktoria Stray, Idunn Stabell, Gyda Elisa Sæter et al.",2025,Information and Software Technology
Teamwork quality in agile capstone courses: insights from 790 software engineering students,"Camilla Kielland Lund, Idunn Stabell, Viktoria Stray et al.",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering
The collaborative disposition: what students say,"Renée McCauley, Mihaela Sabin, Bonnie K. MacKellar et al.",2025,2025 IEEE Frontiers in Education Conference (FIE)
The development of reflective practice on a work-based software engineering program: a longitudinal study,"Matthew Barr, Syed Waqar Nabi, Oana Andrei",2025,2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&amp;T)
The influence of software engineering education on developing teamwork skills in both genders,"María Cecilia Bastarrica, Jocelyn Simmonds",2025,IEEE Access
The role of project-based learning with activity theory in teaching effectiveness: evidence from the internet of things course,"Zhicheng Dai, Yue Yang, Zengzhao Chen et al.",2025,Education and Information Technologies
Towards emotionally intelligent software engineers: understanding students’ self-perceptions after a cooperative learning experience,"Allysson Allex Araújo, Marcos Kalinowski, Matheus Paixao et al.",2025,2025 IEEE/ACM 18th International Conference on Cooperative and Human Aspects of Software Engineering (CHASE)
Two-stage CS exams: a multi-institutional study of course and exam feature impacts on student perceptions and performance,"Celine Latulipe, John Anvik, Kevin Lin et al.",2025,Proceedings of the 2025 Working Group Reports on Innovation and Technology in Computer Science Education
Understanding students’ mindset while reflecting on their teamwork experiences,"Shaimaa Ali, Minha R. Ha",2025,2025 World Engineering Education Forum - Global Engineering Deans Council (WEEF-GEDC)
Understanding students’ perceptions of human dispositions in computing education,"Teresa Pereira, John Impagliazzo",2025,2025 IEEE Frontiers in Education Conference (FIE)
Understanding the effect of agile practice quality on software product quality,Sherlock A. Licorish,2025,IEEE Transactions on Software Engineering
Use of search tools in software development: a study of microservice-based team projects:,"Yi Lau, Christian Koh, Lingxiao Jiang",2025,Proceedings of the 17th International Conference on Computer Supported Education
Using scrum to improve student teamwork in a project-based hybrid learning setting,"Essa Imhmed, Edgar Ceh-Varela, Mustafa Elfituri",2025,2025 IEEE Frontiers in Education Conference (FIE)
Variation in engagement behaviors among student-centered pedagogies,"Patricia B. Campbell, Clif Kussmaul, Chris Mayfield et al.",2025,Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1
Visualizing frequent peer assessment results to uncover problems in team dynamics,"Yu Lu, André Van Der Hoek",2025,2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&T)
Visualizing team progress and contributions in student projects with teamcast,"Anmol Vilas Deshpande, André Van Der Hoek",2025,2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&T)
Web platform with scrum approach to improve academic performanace in a private higher education institution in Peru,"Jean Franco Vega-Rodriguez, Diego Torres-De-La-Cruz, Daniel Burga et al.",2025,"2025 IEEE XXXII International Conference on Electronics, Electrical Engineering and Computing (INTERCON)"
Who introduces and who fixes? Code quality dynamics in collaborative embedded systems projects,"Rafael Corsi Ferrão, Igor Dos Santos Montagner, Roldofo Azevedo",2025,2025 IEEE Frontiers in Education Conference (FIE)
WIP: enhancing computer programming courses with hardware and simulation projects,Asad Azemi,2025,2025 IEEE Frontiers in Education Conference (FIE)
WIP: fostering effective teamwork in undergraduate research based course,"Priyanka Kumar, Panhapiseth Lim, Saniya Movahed et al.",2025,2025 IEEE Frontiers in Education Conference (FIE)
WIP: implementing scrum methodology in engineering capstone design courses,Haifeng Wang,2025,2025 IEEE Frontiers in Education Conference (FIE)
Collaboration under competition empirical impacts on motivation and teamwork in a multiplayer programming game,"Ratchanon Nobnop, Jetmanus Ratisaksoontorn, Pakakrong Panthanan et al.",2026,"2026 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunication Engineering (ECTI DAMT & NCON)"
Competing or collaborating? The role of hackathon formats in shaping team dynamics and project choices,"Sadia Nasrin Tisha, Md Nazmus Sakib, Sanorita Dey",2026,Proceedings of the 57th ACM Technical Symposium on Computer Science Education V.1
Establishing the criteria for an agile inclusive learning environment (AILE) in higher education,"Itzel Berenice Guerrero Alfaro, Jaime Muñoz-Arteaga, Gabriela Citlalli López Torres et al.",2026,IEEE Revista Iberoamericana de Tecnologias del Aprendizaje
Improving professional dispositions in computing curriculum using sequential peer assessment,"Dhaval K. Patel, Ayush N. Patel, Raj N. Dave",2026,Proceedings of the 57th ACM Technical Symposium on Computer Science Education V.1
Integrating human skills and debates into computing education: an experience report,Eric Fouh,2026,Proceedings of the 28th Australasian Computing Education Conference
Integration of learning framework for software engineering education,"Mira Balaban, Shahaf S. Shperberg, Arnon Sturm",2026,ACM Transactions on Computing Education
"LLMs integration in software engineering team projects: roles, impact, and a pedagogical design space for AI tools in computing education","Ahmed Kharrufa, Sami Alghamdi, Abeer Aziz et al.",2026,ACM Transactions on Computing Education
Methodology for monitoring internal team climate in agile educational projects using weighted evaluation systems,"Héctor Cornide-Reyes, Cristián Durán, Juan F. Olivares-Pacheco et al.",2026,IEEE Access
Promoting successful projects in a software engineering capstone course,"María Cecilia Bastarrica, Cristian Salazar",2026,Anais do XXIX Congresso Ibero-Americano em Engenharia de Software (CIbSE 2026)
Results of a gamification university experience for teaching web programming: the “alice in codeland” project,"Daniele Zolezzi, Luca Martini, Saverio Iacono et al.",2026,IEEE Transactions on Education
"Self-selected groups vs. Random groups: an analysis of student engagement, achievement, and preferences in collaborative learning","Ati Suci Dian Martha, Sri Widowati, Arinza Aurelvia et al.",2026,Collaboration technologies and social computing
Soft skills and group performance in higher education: a quantitative study of student teams in software engineering,"Kelian Schekkerman, Andrea Capiluppi",2026,Computer Applications in Engineering Education
Teaching AI competencies: experiences from coaching interdisciplinary teams to develop AI prototypes,"Aidin Azamnouri, Dominik Hörauf, Brigitte Schönberger et al.",2026,Computers and Education: Artificial Intelligence
Teamwork in software engineering education: exploring team dynamics and challenges across course projects,"Yu Lu, Niklas Meißner, Matthew Bietz et al.",2026,Proceedings of the IEEE/ACM 48th International Conference on Software Engineering
The boundary-spanning assistant: understanding the role and usage patterns of LLMs in project-based software engineering,"Anh Nguyen-Duc, Kai-Kristian Kemell, Aparna Chirumamilla",2026,Proceedings of the IEEE/ACM 48th International Conference on Software Engineering
Using peer evaluations and team contracts in software engineering team project courses,"Nayla Nasir, Muhammad Usman, Usman Nasir",2026,Proceedings of the IEEE/ACM 48th International Conference on Software Engineering
When emotions matter: speech-based emotion detection in capstone project retrospective meetings while working hybrid,"Wardah Naeem Awan, Maria Paasivaara, Peter A. Gloor",2026,Proceedings of the IEEE/ACM 48th International Conference on Software Engineering
Who plays which role when? Communication role dynamics for peer recognition and team performance prediction,"Yifan Song, Wenxuan Wendy Shi, Brian Bailey et al.",2026,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)
